Lost,Total Datagrams,Loss Rate (%)
3485,70048,4.975159890360895
3541,70000,5.058571428571428
3547,70054,5.063236931509978
3425,70000,4.892857142857142
3582,70050,5.113490364025696
3539,70030,5.05354847922319
3470,70025,4.9553730810424845
3461,70033,4.941955935059187
3455,69989,4.936490019860264
3463,70056,4.9431883064976585
3456,70011,4.936367142306209
3511,70053,5.011919546628981
3422,70038,4.885919072503498
5870,70017,8.384819364800268
3605,70021,5.148455463360992
3497,70032,4.993431574137537
3467,70040,4.950028555111365
3431,70006,4.901008484987001
3484,70027,4.975223842232282
3509,70045,5.0096366621457635
3441,70023,4.914099652971166
3410,70039,4.86871600108511
3560,70007,5.085205765137772
3602,70042,5.142628708489192
3505,70029,5.005069328421083
3384,70037,4.831731798906293
3620,69986,5.17246306404138
3535,70047,5.046611560809171
5741,70020,8.200382188467591
3452,70043,4.9284011250232
3573,70030,5.10209910038555
3647,70033,5.207545014493167
3501,70003,5.001214233675699
3581,70011,5.114910514062076
3530,70033,5.0404809161395345
3521,70053,5.026194452771473
3563,70037,5.087310992760969
3498,70026,4.995287464655985
3554,70007,5.076635193623495
3582,70053,5.113271380240675
3531,70031,5.042052805186275
3517,70015,5.0232093122902235
3451,70038,4.9273251663382736
5974,69986,8.536081569512161
3465,70037,4.947384953667347
3509,70046,5.00956514290609
3531,70033,5.041908814416061
3458,69975,4.941764916041444
3498,70027,4.99521613092093
3605,70067,5.145075427804816
3488,70031,4.980651425797147
3535,70033,5.047620407522168
3525,70035,5.03319768687085
3484,70025,4.975365940735451
3490,70011,4.984930939423805
3483,70017,4.9745061913535285
3488,70011,4.982074245475711
3529,70078,5.035817232226947
6112,70040,8.726586691641202
3472,70000,4.96
3537,70017,5.051630318351258
3488,70005,4.982501249910721
3491,70055,4.9832274641353225
3520,70040,5.025699600228441
3618,70018,5.167242709017681
3427,70039,4.892988192292865
3429,70017,4.897382064355799
3392,70024,4.8440534673826114
3553,70037,5.073032825506518
3490,70055,4.981800014274499
3564,70019,5.0900469872463185
3502,70031,5.0006425725750026
3461,70020,4.942873464724364
